date,product_id,quantity,lag_1,lag_2,lag_3,lag_7,rolling_mean_7,rolling_std_7,diff_1,day_of_week,month,is_weekend,is_black_friday_month
216,2017-02-05,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,0
226,2017-02-06,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
236,2017-02-07,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0
246,2017-02-08,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
256,2017-02-09,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0
266,2017-02-10,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0
276,2017-02-11,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1,0
286,2017-02-12,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,0
296,2017-02-13,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
306,2017-02-14,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0
316,2017-02-15,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
326,2017-02-16,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0
336,2017-02-17,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0
346,2017-02-18,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1,0
356,2017-02-19,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,0
366,2017-02-20,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
376,2017-02-21,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0
386,2017-02-22,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
396,2017-02-23,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0
406,2017-02-24,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0
416,2017-02-25,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1,0
426,2017-02-26,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1,0
436,2017-02-27,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
446,2017-02-28,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0
456,2017-03-01,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0
466,2017-03-02,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
476,2017-03-03,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0
486,2017-03-04,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,1,0
496,2017-03-05,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,1,0
506,2017-03-06,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0
516,2017-03-07,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0
526,2017-03-08,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0
536,2017-03-09,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
546,2017-03-10,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0
556,2017-03-11,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,1,0
566,2017-03-12,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,1,0
576,2017-03-13,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0
586,2017-03-14,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0
596,2017-03-15,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0
606,2017-03-16,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
616,2017-03-17,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0
626,2017-03-18,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,1,0
636,2017-03-19,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,1,0
646,2017-03-20,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0
656,2017-03-21,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0
666,2017-03-22,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0
676,2017-03-23,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
686,2017-03-24,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0
696,2017-03-25,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,1,0
706,2017-03-26,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,1,0
716,2017-03-27,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0
726,2017-03-28,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0
736,2017-03-29,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0
746,2017-03-30,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0
756,2017-03-31,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0
766,2017-04-01,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0
776,2017-04-02,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,1,0
786,2017-04-03,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0
796,2017-04-04,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,0
806,2017-04-05,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0
816,2017-04-06,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0,0
826,2017-04-07,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,0
836,2017-04-08,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0
846,2017-04-09,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,1,0
856,2017-04-10,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0
866,2017-04-11,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,0
876,2017-04-12,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0
886,2017-04-13,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0,0
896,2017-04-14,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,0
906,2017-04-15,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0
916,2017-04-16,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,1,0
926,2017-04-17,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0
936,2017-04-18,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,0
946,2017-04-19,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0
956,2017-04-20,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0,0
966,2017-04-21,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,0
976,2017-04-22,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0
986,2017-04-23,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,1,0
996,2017-04-24,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0
1006,2017-04-25,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0,0
1016,2017-04-26,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0
1026,2017-04-27,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0,0
1036,2017-04-28,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,0
1046,2017-04-29,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0
1056,2017-04-30,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,1,0
1066,2017-05-01,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0
1076,2017-05-02,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0
1086,2017-05-03,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0
1096,2017-05-04,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0
1106,2017-05-05,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0
1116,2017-05-06,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,1,0
1126,2017-05-07,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,1,0
1136,2017-05-08,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0
1146,2017-05-09,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0
1156,2017-05-10,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0
1166,2017-05-11,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0
1176,2017-05-12,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0
1186,2017-05-13,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,1,0
1196,2017-05-14,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,1,0
1206,2017-05-15,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0
1216,2017-05-16,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0
1226,2017-05-17,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0
1236,2017-05-18,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0
1246,2017-05-19,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0
1256,2017-05-20,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,1,0
1266,2017-05-21,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,1,0
1276,2017-05-22,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0
1286,2017-05-23,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0
1296,2017-05-24,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0
1306,2017-05-25,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0
1316,2017-05-26,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0
1326,2017-05-27,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,1,0
1336,2017-05-28,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,1,0
1346,2017-05-29,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0
1356,2017-05-30,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0
1366,2017-05-31,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0
1376,2017-06-01,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,0
1386,2017-06-02,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0,0
1396,2017-06-03,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,1,0
1406,2017-06-04,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,1,0
1416,2017-06-05,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0
1426,2017-06-06,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0
1436,2017-06-07,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,0,0
1446,2017-06-08,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,0
1456,2017-06-09,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0,0
1466,2017-06-10,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,1,0
1476,2017-06-11,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,1,0
1486,2017-06-12,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0
1496,2017-06-13,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0
1506,2017-06-14,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,0,0
1516,2017-06-15,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,0
1526,2017-06-16,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0,0
1536,2017-06-17,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,1,0
1546,2017-06-18,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,1,0
1556,2017-06-19,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0
1566,2017-06-20,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0
1576,2017-06-21,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,0,0
1586,2017-06-22,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,0
1596,2017-06-23,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0,0
1606,2017-06-24,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,1,0
1616,2017-06-25,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,1,0
1626,2017-06-26,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0
1636,2017-06-27,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0
1646,2017-06-28,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,0,0
1656,2017-06-29,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,0
1666,2017-06-30,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0,0
1676,2017-07-01,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,1,0
1686,2017-07-02,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,1,0
1696,2017-07-03,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0
1706,2017-07-04,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0
1716,2017-07-05,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0,0
1726,2017-07-06,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0,0
1736,2017-07-07,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0,0
1746,2017-07-08,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,1,0
1756,2017-07-09,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,1,0
1766,2017-07-10,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0
1776,2017-07-11,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0
1786,2017-07-12,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0,0
1796,2017-07-13,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0,0
1806,2017-07-14,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0,0
1816,2017-07-15,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,1,0
1826,2017-07-16,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,1,0
1836,2017-07-17,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0
1846,2017-07-18,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0
1856,2017-07-19,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0,0
1866,2017-07-20,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0,0
1876,2017-07-21,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0,0
1886,2017-07-22,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,1,0
1896,2017-07-23,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,1,0
1906,2017-07-24,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0
1916,2017-07-25,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0
1926,2017-07-26,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0,0
1936,2017-07-27,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0,0
1946,2017-07-28,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0,0
1956,2017-07-29,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,1,0
1966,2017-07-30,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,1,0
1976,2017-07-31,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0
1986,2017-08-01,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0
1996,2017-08-02,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0,0
2006,2017-08-03,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,0,0
2016,2017-08-04,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,0,0
2026,2017-08-05,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8,1,0
2036,2017-08-06,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,1,0
2046,2017-08-07,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0
2056,2017-08-08,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0
2066,2017-08-09,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0,0
2076,2017-08-10,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,0,0
2086,2017-08-11,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,0,0
